1c9bcd3	Daniel Oliva Bianco	2016-03-08 14:13:44 -0300	Add boot metadata from sql scripts, loca
02e189b	mbertoli	2016-03-08 11:13:42 -0300	N/A
4d22b9f	Sebastian Dimunzio	2016-03-08 10:32:53 -0300	Merge pull request #9 from devgateway/maven_conf
2acebc8	Sebastian Dimunzio	2016-03-08 10:31:22 -0300	small update to ignore file
9b29f1d	Sebastian Dimunzio	2016-03-07 23:59:50 -0300	Fixing run.sh file
7aa28d0	Sebastian Dimunzio	2016-03-07 22:44:19 -0300	Linux log path fixed
7f92a6e	Sebastian Dimunzio	2016-03-07 22:26:50 -0300	updating gi ignore file
ac840ed	Sebastian Dimunzio	2016-03-07 22:21:31 -0300	updateing ignore file
eec265f	Sebastian Dimunzio	2016-03-07 22:08:15 -0300	Merge pull request #8 from devgateway/maven_conf
6d0cd99	Sebastian Dimunzio	2016-03-07 22:07:17 -0300	adding plugin version
acbe4a5	Sebastian Dimunzio	2016-03-07 17:04:48 -0300	Merge pull request #7 from devgateway/maven_conf
e68e79f	Sebastian Dimunzio	2016-03-07 16:49:03 -0300	Added maven assembly configuration
3f71226	Daniel Oliva Bianco	2016-03-07 16:05:08 -0300	Add all the locations to DB, also implement the location endpoint :peron:
729fe1a	mbertoli	2016-03-07 15:02:00 -0300	N/A
9eba1c8	mbertoli	2016-03-07 11:36:29 -0300	libs
2a1aa4d	mbertoli	2016-03-04 16:34:34 -0300	Merge pull request #6 from devgateway/Redux
32bb49f	mbertoli	2016-03-04 16:32:50 -0300	fix redux issues
